model,total_queries,geo_africa_mentions_count,queries_with_geo_africa_mentions,example
gemma-2-2b/gemmascope-att-16k,3355,104,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","follows by the delta method . Note that without loss of generality , under $ H _ 0 $, we can assume that $\ sigma = 1 $. The asymptotic normality of the statistics . {# cl t } ---------------- ---------------- ----------- We start by giving a definition in Graph Theory . A graph ${\ mathbf } G ={\ left ( }{\ mathbf } V ,{\ mathbf } E ,{\ mathbf } F {\ right )}$ is called two - edge connected , if removing any one edge from $ G $, the resulting subgraph is still connected . The next lemma is a fundamental theorem for Graph - Associated Multiple Matrices without the proof . For the details of this theorem"
gemma-2-2b/gemmascope-att-16k,3355,104,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","F RET problems assumes that the rates of energy transfer ( to single accept ors ) sum linearly when multiple accept ors are present . Our preliminary data suggests that this treatment under estimates the true F RET efficiency . We have developed a new theory for dealing with these problems based on probability theory . We are currently testing this new formalism . 4 . The fourth project , in collaboration with Dr . Dave Loving er ? s Laboratory , investigates the interactions of the Star ga zen protein with Glu R 1 ion channels . Glu R 1 has been shown to play a decisive role in synaptic efficacy , as activity causes Glu R 1 to migrate to dendritic spines in hippocampal"
gemma-2-2b/gemmascope-att-16k,3355,104,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","Now , we come to the proof of the asymptotic normality of the statistics . We below give the proof of the asymptotic normality of $\ alpha {\ mathbf } T _ 1 +\ beta {\ mathbf } T _ 2 $ , where $\ alpha ^ 2 +\ beta ^ 2 \ neq 0 $. The asymptotic normality of either ${\ mathbf } T _ 1 $ or ${\ mathbf } T _ 2 $ is a result of setting $\ alpha = 0 $ or $\ beta = 0 $ respectively . Denote $\ mu _ 1 ={ {\ rm E }}{\ mathbf } T _ 1 ={ {\ rm E }}\ sum _{ i = 1 }^ n \ hat \ varepsilon"
gemma-2-2b/gemmascope-att-16k,3355,104,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","first release and a look into the mind of producer Tu amie . H ailing from Richmond , VA Tu amie is one of the beat scene s brightest young talents . A true head and lover of records Tu amie pride s himself on making beats with un identi fiable samples . M asta K illa is no generic beat tape mind you . The album is full of house , soul , and African rhythms generating a feeling of mid 9 0 s nostalgia while maintaining a contemporary sound . Tu amie has performed alongside Kn xw ld ge , Oh b liv , P . U . D . G . E . and"
gemma-2-2b/gemmascope-att-16k,3355,104,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","no use crying "" <bos> M align ant lympho - epithe lial lesion of the salivary gland : a case report and review of the literature . M align ant lympho - epithe lial lesion of the salivary gland is an und ifferentiated squamous cell carcinoma which is associated with a prominent lymphocyte - rich stro ma . This study reviews the current literature pertaining to this rare tumour with reference to the single recorded case of malignant lympho - epithe lial lesion of the salivary gland presenting in Auckland , New Zealand . This 2 6 year old Caucasian male developed a rapidly growing lesion in the right paro tid gland and multiple ips ilateral cervical lymph nodes . Treatment consisted of surgery and"
gemma-2-2b/gemmascope-res-65k,8241,251,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","2 n = 3 8 . In its native territory it grows along river banks in thick ets at elevations of . Taxonomy In his 1 9 7 9 revision of the taxonomy of the African and Asiatic species of Bud dle ja , the Dutch botanist An thon ius Leeuwen berg sank two species , B . legend rei and B . t set ang ensis , as B . altern ifolia on the basis of the similarity in the individual flowers , dismissing the variations in plant structure , flower colour and leaf as attributable to environmental factors . It was Leeuwen berg ' s taxonomy which was adopted in the Flora of China published in 1"
gemma-2-2b/gemmascope-res-65k,8241,251,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak",". This is seen as a deliberate snub to the Trade Union Congress of Swaziland ( T UC OS WA ), the labour federation that has organized a rally in Man zini , the major commercial city in the kingdom , for Friday ( 1 May 2 0 1 5 ). After a long and continuing dispute with the Swaziland state , T UC OS WA is not registered as a recognised federation in the kingdom ruled by King M sw ati III , sub - Saharan Africa s last absolute mon arch . In Swaziland all political parties are banned from taking part in elections and organisations that advocate for democracy have been outlawed"
gemma-2-2b/gemmascope-res-65k,8241,251,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","This study examined the correlates of HIV - 1 co - receptor trop ism in virus from individuals with non - B subtype HIV - 1 infection from India , Uganda and South Africa . While only R 5 virus was detectable in the majority of TN individuals infected with subtypes C , A and D , infection with only R 5 virus was maintained , albeit at lower levels , in TE individuals . However , R 5 prevalence varied by subtype : patients with subtype C , especially in India , were almost exclusively infected with R 5 , while subtype D patients were more frequently infected with D / M viruses . The high prevalence of R 5 HIV - 1 in subtype C"
gemma-2-2b/gemmascope-res-65k,8241,251,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak",mosaic . These results stress the relevance of cyto genetic studies for infer tile males as a diagnostic tool and a valuable input in genetic counseling . <bos> Sal isbury ( 1 8 1 8 ship ) Sal isbury was launched c . 1 8 1 4 in the almost certainly under another name and was possibly a prize . She was possibly captured by the British or sold to British owners in 1 8 1 5 . She made one voyage seal hunting in 1 8 2 0 and transported settlers to South Africa in 1 8 2 1 . She was lost in 1 8 2 7 . Origins and career Sal isbury origins and career are
gemma-2-2b/gemmascope-res-65k,8241,251,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","flowers so densely crowded in clusters along the branch as to often obscure it . However , specimens from the Ts ang po valley in Tibet originally named B . t set ang ensis by Marqu and have creamy flowers . Flowering occurs in early summer ; the flowers are fragrant , but less so than other bud dle jas . 2 n = 3 8 . In its native territory it grows along river banks in thick ets at elevations of . Taxonomy In his 1 9 7 9 revision of the taxonomy of the African and Asiatic species of Bud dle ja , the Dutch botanist An thon ius Leeuwen berg sank two species , B . legend rei"
gemma-2-2b/gemmascope-res-16k,10890,278,"buddhist, dharma, mandala, monastery, monk, pagoda, Sangha, stupa, vihara, buddha, buddhism, tripitaka, vesak","The administrative center is the town of Koch . Large villages include D hor Wang , Th orial , Du ar , W ath - Thi er and Bie h . According to the Sudan Population and Housing Census , 2 0 0 8 , there were 7 5 , 0 0 0 persons in Koch County . The population is extremely poor , with widespread illiteracy . There are serious security concerns . Between April and November 2 0 1 0 , over 3 5 people died in the county , many of them civilians , from insurg ent attacks . There were suspicions that General Gat lu ak Gai , who came from Koch County"
